epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9002,1.83699,3.40028,1.38204,0.27708,0.32639,0.3172,0.14947,1.66268,2.12212,1.25301,0.000220596,0.000220596,0.000220596
2,53.2086,1.63965,1.92454,1.25926,0.5889,0.75167,0.64745,0.34744,1.53138,1.28825,1.19912,0.000438545,0.000438545,0.000438545
3,74.4476,1.54416,1.60454,1.23449,0.73684,0.82528,0.78373,0.4396,1.45676,1.17402,1.16312,0.000652091,0.000652091,0.000652091
4,96.2372,1.50112,1.45949,1.22491,0.79383,0.8711,0.82945,0.43864,1.51172,1.08003,1.21072,0.00064719,0.00064719,0.00064719
5,116.886,1.49166,1.40876,1.22173,0.80367,0.8663,0.85234,0.47204,1.41949,1.01909,1.18311,0.000640587,0.000640587,0.000640587
6,137.934,1.45757,1.34125,1.20467,0.79357,0.88234,0.8391,0.46495,1.42519,1.04207,1.21708,0.000633983,0.000633983,0.000633983
7,159.395,1.45209,1.32896,1.21375,0.85861,0.8849,0.86872,0.48333,1.3893,0.96045,1.16102,0.00062738,0.00062738,0.00062738
8,181.649,1.41567,1.26655,1.19173,0.815,0.89447,0.88073,0.48026,1.40779,0.99459,1.1786,0.000620777,0.000620777,0.000620777
9,203.11,1.4051,1.23876,1.19205,0.85776,0.90522,0.89688,0.50572,1.39877,0.9414,1.17244,0.000614174,0.000614174,0.000614174
10,224.749,1.40317,1.22624,1.19321,0.8855,0.9057,0.89908,0.51597,1.39278,0.92717,1.16758,0.00060757,0.00060757,0.00060757
11,245.029,1.38573,1.19384,1.18464,0.83202,0.89301,0.88175,0.50772,1.35723,0.95622,1.16278,0.000600967,0.000600967,0.000600967
12,267.794,1.38831,1.19471,1.18859,0.85479,0.8934,0.89234,0.51237,1.35291,0.9186,1.17348,0.000594364,0.000594364,0.000594364
13,289.526,1.36171,1.1537,1.18139,0.8887,0.90615,0.89994,0.51671,1.36051,0.88621,1.17349,0.00058776,0.00058776,0.00058776
14,310.547,1.37552,1.14606,1.17793,0.87499,0.8881,0.89841,0.52526,1.36341,0.9079,1.15986,0.000581157,0.000581157,0.000581157
