epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.5557,1.95906,3.67839,1.34953,0.23916,0.24452,0.18568,0.08763,1.68544,2.60242,1.13209,0.000220596,0.000220596,0.000220596
2,71.1824,1.72551,2.13653,1.17645,0.52682,0.58933,0.53741,0.27913,1.5454,1.42355,1.11724,0.00043416,0.00043416,0.00043416
3,93.7214,1.61486,1.65152,1.15469,0.66005,0.70588,0.68808,0.37625,1.43541,1.27029,1.07252,0.000638919,0.000638919,0.000638919
4,114.278,1.54999,1.47726,1.13966,0.76013,0.77501,0.78135,0.43197,1.4372,1.12786,1.08585,0.00062738,0.00062738,0.00062738
5,136,1.53723,1.41427,1.13788,0.79079,0.83311,0.81144,0.44385,1.41879,1.02514,1.0811,0.000614174,0.000614174,0.000614174
6,158.501,1.51046,1.33574,1.12725,0.76221,0.85349,0.80943,0.43148,1.45796,1.01197,1.08462,0.000600967,0.000600967,0.000600967
7,180.665,1.49344,1.29728,1.12402,0.82667,0.88856,0.85189,0.47462,1.3899,0.948,1.0744,0.00058776,0.00058776,0.00058776
8,202.202,1.45422,1.25164,1.10941,0.82689,0.86837,0.86018,0.46847,1.38375,0.95456,1.06471,0.000574554,0.000574554,0.000574554
9,222.104,1.44156,1.21743,1.10961,0.84524,0.87473,0.87705,0.48368,1.38287,0.92088,1.0712,0.000561347,0.000561347,0.000561347
10,242.853,1.43761,1.20142,1.10465,0.8526,0.87324,0.8784,0.50408,1.36417,0.89785,1.05479,0.000548141,0.000548141,0.000548141
11,263.487,1.42868,1.17605,1.09826,0.85292,0.87195,0.87654,0.45862,1.4137,0.92783,1.08351,0.000534934,0.000534934,0.000534934
12,287.474,1.41044,1.1646,1.09648,0.88814,0.88519,0.90054,0.52106,1.34026,0.86878,1.0706,0.000521727,0.000521727,0.000521727
13,307.554,1.39375,1.1284,1.09591,0.89536,0.88347,0.89819,0.50755,1.36994,0.82873,1.06344,0.000508521,0.000508521,0.000508521
14,327.846,1.39636,1.10586,1.0922,0.90253,0.89996,0.90768,0.51096,1.36203,0.82246,1.05365,0.000495314,0.000495314,0.000495314
15,348.168,1.39871,1.11727,1.09009,0.87114,0.88937,0.89537,0.51311,1.32258,0.85607,1.04941,0.000482108,0.000482108,0.000482108
16,368.166,1.3808,1.08731,1.08664,0.89808,0.90311,0.89429,0.50404,1.36933,0.80197,1.06535,0.000468901,0.000468901,0.000468901
17,391.905,1.38412,1.06848,1.08576,0.87277,0.90832,0.89406,0.5151,1.33865,0.81869,1.05502,0.000455694,0.000455694,0.000455694
18,411.569,1.37065,1.07489,1.08195,0.89463,0.89384,0.90433,0.52683,1.31216,0.83211,1.03749,0.000442488,0.000442488,0.000442488
19,433.78,1.37202,1.05857,1.07951,0.89712,0.90288,0.89771,0.51759,1.32985,0.81978,1.04431,0.000429281,0.000429281,0.000429281
20,453.747,1.36493,1.05829,1.08282,0.90108,0.89807,0.90052,0.52116,1.33045,0.813,1.05457,0.000416075,0.000416075,0.000416075
21,474.057,1.35637,1.04756,1.08267,0.89769,0.91315,0.90511,0.50884,1.38562,0.80234,1.06275,0.000402868,0.000402868,0.000402868
22,494.241,1.34473,1.03411,1.07045,0.88874,0.90574,0.89734,0.52278,1.32035,0.80371,1.04784,0.000389661,0.000389661,0.000389661
23,514.605,1.34577,1.016,1.07215,0.91253,0.91951,0.9138,0.52906,1.31534,0.80072,1.03826,0.000376455,0.000376455,0.000376455
24,534.273,1.33567,1.0066,1.0694,0.90532,0.9052,0.904,0.52865,1.33636,0.77825,1.05217,0.000363248,0.000363248,0.000363248
25,554.216,1.33779,1.0157,1.06877,0.88758,0.91721,0.90589,0.50924,1.36147,0.79677,1.0597,0.000350042,0.000350042,0.000350042
26,574.432,1.33302,1.00175,1.06721,0.89756,0.9183,0.91576,0.51349,1.35696,0.79028,1.05343,0.000336835,0.000336835,0.000336835
27,594.429,1.33159,0.9822,1.06932,0.91578,0.90752,0.91533,0.53721,1.30839,0.77319,1.03597,0.000323628,0.000323628,0.000323628
28,614.895,1.32165,0.98512,1.06428,0.90842,0.91919,0.90887,0.53117,1.30609,0.75208,1.04002,0.000310422,0.000310422,0.000310422
29,634.915,1.32415,0.98805,1.06467,0.90357,0.9122,0.9065,0.54058,1.29058,0.77482,1.03587,0.000297215,0.000297215,0.000297215
30,655.241,1.31873,0.97336,1.0616,0.89904,0.91514,0.89979,0.52191,1.30571,0.78774,1.03945,0.000284009,0.000284009,0.000284009
31,675.13,1.31383,0.99037,1.06195,0.90404,0.90818,0.90264,0.53268,1.30192,0.77039,1.03578,0.000270802,0.000270802,0.000270802
32,695.89,1.30153,0.95461,1.0588,0.90957,0.91424,0.91293,0.51751,1.37101,0.78105,1.04689,0.000257595,0.000257595,0.000257595
33,714.39,1.31172,0.97128,1.05629,0.89039,0.90735,0.91218,0.53477,1.2937,0.78448,1.02327,0.000244389,0.000244389,0.000244389
34,733.668,1.31302,0.95971,1.0597,0.90755,0.92241,0.91008,0.53791,1.29823,0.7575,1.0378,0.000231182,0.000231182,0.000231182
35,752.606,1.297,0.94521,1.05511,0.91253,0.91689,0.90722,0.53511,1.32026,0.74505,1.04229,0.000217976,0.000217976,0.000217976
36,771.753,1.27847,0.93526,1.05064,0.90906,0.9177,0.90543,0.52523,1.32537,0.75307,1.03708,0.000204769,0.000204769,0.000204769
37,792.577,1.28424,0.92778,1.05225,0.90635,0.91477,0.90341,0.5313,1.30739,0.74305,1.03813,0.000191562,0.000191562,0.000191562
38,811.003,1.2889,0.91335,1.05174,0.91714,0.91568,0.90954,0.53954,1.29212,0.73929,1.03199,0.000178356,0.000178356,0.000178356
