epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.018,5.30018,4.61146,3.95083,0.00039,0.02166,0.00061,0.00012,4.82017,3.73919,3.46056,0.000220596,0.000220596,0.000220596
2,61.952,3.45028,3.44439,2.92684,0.29928,0.11398,0.02163,0.00647,3.16208,2.78044,2.28255,0.00043416,0.00043416,0.00043416
3,81.82,2.81548,2.73427,2.19548,0.01045,0.75585,0.03683,0.01286,2.59762,2.53168,1.87389,0.000638919,0.000638919,0.000638919
4,100.399,2.50844,2.56408,1.94858,0.01533,0.82563,0.05911,0.02267,2.1574,2.43752,1.6844,0.00062738,0.00062738,0.00062738
5,120.287,2.28336,2.43152,1.76633,0.59718,0.091,0.11396,0.04454,2.19979,2.24395,1.60924,0.000614174,0.000614174,0.000614174
6,138.39,2.15548,2.26445,1.65814,0.33616,0.23345,0.20532,0.09803,1.87124,2.00499,1.44781,0.000600967,0.000600967,0.000600967
7,160.768,2.05917,2.07587,1.59383,0.33199,0.43422,0.27315,0.13626,1.71314,1.67774,1.3504,0.00058776,0.00058776,0.00058776
8,179.025,1.96294,1.93483,1.51609,0.43339,0.5351,0.37721,0.19108,1.65519,1.54173,1.33739,0.000574554,0.000574554,0.000574554
9,198.631,1.89466,1.826,1.47679,0.45148,0.57322,0.44838,0.2119,1.69101,1.41538,1.33334,0.000561347,0.000561347,0.000561347
10,216.786,1.86773,1.71902,1.44454,0.52037,0.56673,0.51936,0.26795,1.56233,1.285,1.26525,0.000548141,0.000548141,0.000548141
11,235.101,1.78814,1.64133,1.40327,0.60268,0.54202,0.55323,0.27448,1.58003,1.22586,1.28439,0.000534934,0.000534934,0.000534934
12,259.675,1.76191,1.57712,1.38287,0.62311,0.60942,0.61991,0.33678,1.52707,1.17767,1.23892,0.000521727,0.000521727,0.000521727
13,278.495,1.72735,1.53061,1.37022,0.67645,0.68105,0.67232,0.37106,1.47263,1.11794,1.21687,0.000508521,0.000508521,0.000508521
14,296.698,1.71007,1.48762,1.35798,0.69931,0.69342,0.70017,0.38805,1.50235,1.08948,1.2223,0.000495314,0.000495314,0.000495314
